Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;116
Nome da estação:;São José do Rio Preto

Data;Hora;Média Horária
;;TEMP(Temperatura do Ar) - °C
21/07/2025;22:00;21,2
21/07/2025;23:00;20,3
21/07/2025;24:00;20,1
22/07/2025;01:00;19,3
22/07/2025;02:00;18,8
22/07/2025;03:00;18,4
22/07/2025;04:00;17,5
22/07/2025;05:00;16,8
22/07/2025;06:00;16,5
22/07/2025;07:00;16,4
22/07/2025;08:00;16,9
22/07/2025;09:00;19,5
22/07/2025;10:00;23,2
22/07/2025;11:00;26,5
22/07/2025;12:00;28,1
22/07/2025;13:00;28,8
22/07/2025;14:00;30,0
22/07/2025;15:00;29,9
22/07/2025;16:00;29,2
22/07/2025;17:00;29,1
22/07/2025;18:00;28,3
22/07/2025;19:00;26,4
22/07/2025;20:00;24,6
22/07/2025;21:00;23,3
22/07/2025;22:00;22,0
22/07/2025;23:00;20,6
22/07/2025;24:00;20,1
23/07/2025;01:00;21,2
23/07/2025;02:00;19,9
23/07/2025;03:00;19,0
23/07/2025;04:00;18,5
23/07/2025;05:00;17,7
23/07/2025;06:00;17,2
23/07/2025;07:00;17,2
23/07/2025;08:00;17,6
23/07/2025;09:00;20,6
23/07/2025;10:00;24,2
23/07/2025;11:00;26,6
23/07/2025;12:00;28,3
23/07/2025;13:00;29,4
23/07/2025;14:00;29,6
23/07/2025;15:00;29,8
23/07/2025;16:00;29,5
23/07/2025;17:00;28,9
23/07/2025;18:00;27,8
23/07/2025;19:00;26,1
23/07/2025;20:00;24,7
23/07/2025;21:00;23,4
23/07/2025;22:00;22,5
23/07/2025;23:00;21,3
23/07/2025;24:00;20,5
24/07/2025;01:00;19,9
24/07/2025;02:00;19,5
24/07/2025;03:00;19,0
24/07/2025;04:00;18,0
24/07/2025;05:00;17,4
24/07/2025;06:00;16,8
24/07/2025;07:00;16,4
24/07/2025;08:00;16,1
24/07/2025;09:00;17,9
24/07/2025;10:00;21,4
24/07/2025;11:00;25,1
24/07/2025;12:00;27,2
24/07/2025;13:00;28,8
24/07/2025;14:00;29,5
24/07/2025;15:00;30,2
24/07/2025;16:00;30,2
24/07/2025;17:00;29,8
24/07/2025;18:00;28,2
24/07/2025;19:00;26,5
24/07/2025;20:00;25,2
24/07/2025;21:00;24,1
24/07/2025;22:00;22,7
24/07/2025;23:00;21,3
24/07/2025;24:00;20,4
25/07/2025;01:00;19,5
25/07/2025;02:00;18,5
25/07/2025;03:00;17,6
25/07/2025;04:00;16,8
25/07/2025;05:00;16,5
25/07/2025;06:00;16,5
